,ID,GROUP,CONDITION,Q1,Q2A,Q2B,Q2C,Q2D,Q2E,Q2F,Q2G,Q2H,Q2I,Q3A,Q3B,Q3C,Q3D,Q3E,Q3F,Q3G,Q3H,Q4A,Q4B,Q4C,Q4D,Q4E,Q4F,Q4G,Q4H,Q4I,Q4J,Q5A,Q5B,Q5C,Q5D,Q5E,Q5F,Q5G,Q5H,Q5I,Q5J,Q6A,Q6B,Q6C,Q6D,Q6E,Q6F,Q6G,Q6H,Q6I,Q6J,T2Q1,T2Q2A,T2Q2B,T2Q2C,T2Q2D,T2Q2E,T2Q2F,T2Q2G,T2Q2H,T2Q2I,T2Q3A,T2Q3B,T2Q3C,T2Q3D,T2Q3E,T2Q3F,T2Q3G,T2Q3H,T2Q4A,T2Q4B,T2Q4C,T2Q4D,T2Q4E,T2Q4F,T2Q4G,T2Q4H,T2Q4I,T2Q4J,T2Q5A,T2Q5B,T2Q5C,T2Q5D,T2Q5E,T2Q5F,T2Q5G,T2Q5H,T2Q5I,T2Q5J,T2Q6A,T2Q6B,T2Q6C,T2Q6D,T2Q6E,T2Q6F,T2Q6G,T2Q6H,T2Q6I,RACE,AGEBRACKET,EDUCATION,PARTYBEFORE,GENDER,AGE
0,0,1,1,5,0,10,0,5,5,5,10,10,10,10,10,10,10,5,0,5,5,0,0,10,0,0,10,0,0,0,0,10,0,0,0,10,10,10,0,10,5,10,0,0,10,0,0,10,10,0,0,9,2,10,7,10,10,0,7,10,5,10,10,10,6,4,0,9,6,3,5,10,9,6,6,8,8,0,0,0,0,6,4,10,10,10,0,10,5,9,2,6,6,8,9,5,6,0,"White, non-Hispanic",18-29,Some college,Independent,Male,21
1,1,24,1,7,10,8,0,0,0,10,0,0,10,0,0,0,0,10,10,10,0,0,0,10,0,8,10,3,0,0,0,10,10,0,0,77,5,77,0,10,10,77,10,3,77,10,0,0,5,10,7,8,7,5,0,1,0,10,5,1,9,0,0,0,0,10,10,10,0,0,0,10,0,0,9,0,0,0,0,10,2,0,0,5,0,1,0,9,7,0,10,5,6,10,0,0,6,10,"White, non-Hispanic",30-44,BA or above,Republican,Male,34
2,2,9,1,7,0,10,10,6,10,8,10,10,5,10,10,10,10,0,0,0,10,3,8,5,8,10,2,10,10,6,2,0,0,7,7,10,10,7,5,10,10,10,6,10,10,8,10,7,8,6,10,8,0,10,9,7,9,5,0,10,4,10,10,10,10,2,0,0,8,8,3,5,7,7,0,7,8,5,6,0,0,10,10,10,6,9,2,9,9,10,3,8,8,8,10,8,6,5,"Black, non-Hispanic",60+,BA or above,Democrat,Female,71
3,3,25,1,1,0,10,10,10,10,7,0,10,0,10,10,5,10,10,0,10,7,5,10,5,10,10,0,10,10,10,0,3,7,7,9,8,10,9,6,10,10,8,5,10,8,8,8,10,9,8,6,98,0,10,6,10,10,4,2,10,0,10,10,7,9,6,6,1,6,6,9,1,8,9,1,7,6,1,1,0,2,5,6,10,10,10,4,10,10,10,10,10,10,4,10,10,6,7,"White, non-Hispanic",60+,BA or above,Democrat,Female,77
4,4,21,1,5,10,10,5,5,5,10,0,0,10,5,5,5,10,5,0,0,5,5,5,5,10,0,5,5,5,0,0,10,0,0,0,10,0,0,0,10,8,5,5,5,10,5,0,0,0,5,0,2,3,7,5,6,3,10,3,7,5,7,5,7,10,5,0,2,5,10,6,3,8,5,0,4,0,0,0,4,0,0,0,10,0,0,0,10,8,7,5,5,8,5,6,2,5,3,"White, non-Hispanic",45-59,Some college,Republican,Male,51
5,5,17,1,5,5,9,0,5,2,9,2,0,10,0,0,0,0,5,3,5,2,5,7,0,9,6,10,2,0,0,0,10,5,2,9,10,5,2,0,10,0,4,8,5,9,7,0,0,5,8,5,6,6,10,5,8,5,5,6,5,6,1,1,1,1,5,4,77,1,7,5,77,9,6,7,3,0,0,0,6,4,77,77,8,2,7,0,8,6,5,5,5,7,5,0,5,2,7,"White, non-Hispanic",60+,BA or above,Independent,Female,67
6,6,33,1,7,10,6,8,7,1,10,8,2,10,0,0,0,0,8,9,6,1,3,1,4,8,4,5,0,7,0,0,9,1,6,4,9,7,3,0,8,10,2,7,6,9,3,0,0,9,9,3,8,7,9,7,10,8,10,9,9,3,1,0,1,2,10,7,10,0,1,0,9,2,7,8,0,1,1,0,9,6,5,4,10,3,3,0,10,10,8,8,7,9,9,6,1,8,9,"White, non-Hispanic",60+,Some college,Independent,Male,76
7,7,6,1,4,2,10,10,5,5,10,5,10,5,7,5,0,5,9,5,6,77,10,10,0,10,5,0,10,5,0,0,0,0,10,10,10,5,10,5,10,10,7,0,10,10,5,10,10,10,5,10,7,9,10,10,7,9,10,10,10,9,8,5,7,5,3,0,0,6,10,10,0,10,9,0,7,7,5,0,0,0,10,10,10,10,10,7,10,10,8,0,5,10,10,10,10,5,0,"Black, non-Hispanic",45-59,Some college,Democrat,Male,52
8,8,28,1,8,1,9,10,9,9,9,9,8,1,9,9,9,9,6,1,1,4,10,8,0,9,8,0,9,8,8,7,0,1,9,9,10,9,9,8,10,10,7,0,9,10,10,10,10,10,9,9,98,0,9,7,5,8,9,9,7,1,7,8,8,9,6,2,9,5,7,10,0,10,10,9,2,3,5,0,1,2,6,9,10,7,9,5,9,7,9,0,8,8,8,10,10,8,6,"White, non-Hispanic",30-44,Some college,Democrat,Male,42
9,9,34,1,0,2,10,5,10,10,8,10,10,0,10,10,10,10,5,0,0,10,5,5,5,8,10,3,10,5,9,1,0,0,8,10,10,6,6,10,10,10,5,0,7,8,7,10,8,7,5,10,1,1,10,10,10,10,10,10,10,0,10,10,10,10,0,0,0,6,2,7,5,6,6,0,2,5,2,0,1,5,5,10,10,10,9,10,8,10,10,5,9,10,7,8,1,10,3,"White, non-Hispanic",60+,Some college,Democrat,Female,65
