ID,Question,QuestionText,Topic,ValidResponse,BeforeNumber,BeforeResponse,AfterNumber,AfterResponse,GROUP,RACE,AGEBRACKET,EDUCATION,PARTYBEFORE,GENDER,AGE
0,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,5,In the middle,9,Very strongly favor,1,"White, non-Hispanic",18-29,Some college,Independent,Male,21
1,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,7,Moderately favor,8,Strongly favor,24,"White, non-Hispanic",30-44,BA or above,Republican,Male,34
2,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,7,Moderately favor,8,Strongly favor,9,"Black, non-Hispanic",60+,BA or above,Democrat,Female,71
3,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,False,1,Very strongly oppose,98,SKIPPED ON WEB/PAPI,25,"White, non-Hispanic",60+,BA or above,Democrat,Female,77
4,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,5,In the middle,2,Strongly oppose,21,"White, non-Hispanic",45-59,Some college,Republican,Male,51
5,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,5,In the middle,6,Slightly favor,17,"White, non-Hispanic",60+,BA or above,Independent,Female,67
6,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,7,Moderately favor,8,Strongly favor,33,"White, non-Hispanic",60+,Some college,Independent,Male,76
7,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,4,Slightly oppose,7,Moderately favor,6,"Black, non-Hispanic",45-59,Some college,Democrat,Male,52
8,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,False,8,Strongly favor,98,SKIPPED ON WEB/PAPI,28,"White, non-Hispanic",30-44,Some college,Democrat,Male,42
9,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,0,Extremely oppose,1,Very strongly oppose,34,"White, non-Hispanic",60+,Some college,Democrat,Female,65
10,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,0,Extremely oppose,4,Slightly oppose,25,Hispanic,30-44,Some college,Independent,Female,42
11,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,9,Very strongly favor,3,Moderately oppose,37,"White, non-Hispanic",45-59,Some college,Independent,Female,57
12,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,5,In the middle,7,Moderately favor,37,"White, non-Hispanic",60+,HS graduate or equivalent,Independent,Female,63
13,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,4,Slightly oppose,6,Slightly favor,10,"White, non-Hispanic",60+,BA or above,Independent,Male,76
14,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,2,Strongly oppose,6,Slightly favor,18,"White, non-Hispanic",60+,BA or above,Democrat,Female,62
15,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,4,Slightly oppose,7,Moderately favor,34,Hispanic,18-29,BA or above,Democrat,Female,24
16,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,5,In the middle,5,In the middle,6,"White, non-Hispanic",45-59,BA or above,Democrat,Female,55
17,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,7,Moderately favor,9,Very strongly favor,1,"White, non-Hispanic",45-59,BA or above,Republican,Male,49
18,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,3,Moderately oppose,3,Moderately oppose,28,"Black, non-Hispanic",60+,Some college,Democrat,Female,71
19,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,0,Extremely oppose,0,Extremely oppose,35,"White, non-Hispanic",18-29,Some college,Independent,Male,23
20,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,False,7,Moderately favor,98,SKIPPED ON WEB/PAPI,13,"Black, non-Hispanic",18-29,BA or above,Independent,Male,22
21,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,5,In the middle,8,Strongly favor,28,"Asian, non-Hispanic",30-44,BA or above,Independent,Male,42
22,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,3,Moderately oppose,4,Slightly oppose,31,"White, non-Hispanic",60+,BA or above,Independent,Male,71
23,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,0,Extremely oppose,2,Strongly oppose,4,"White, non-Hispanic",60+,BA or above,Democrat,Male,64
24,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,False,2,Strongly oppose,98,SKIPPED ON WEB/PAPI,24,"White, non-Hispanic",60+,Some college,Independent,Female,65
25,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,4,Slightly oppose,6,Slightly favor,25,"Black, non-Hispanic",18-29,HS graduate or equivalent,Democrat,Female,20
26,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,4,Slightly oppose,6,Slightly favor,36,"White, non-Hispanic",18-29,BA or above,Democrat,Female,22
27,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,1,Very strongly oppose,7,Moderately favor,2,"White, non-Hispanic",60+,BA or above,Independent,Female,66
28,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,7,Moderately favor,5,In the middle,33,Hispanic,18-29,Some college,Democrat,Female,23
29,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,5,In the middle,7,Moderately favor,5,"White, non-Hispanic",60+,Some college,Republican,Female,60
30,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,2,Strongly oppose,9,Very strongly favor,24,"White, non-Hispanic",60+,BA or above,Independent,Male,66
31,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,6,Slightly favor,4,Slightly oppose,14,"Asian, non-Hispanic",18-29,BA or above,Independent,Male,23
32,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,7,Moderately favor,3,Moderately oppose,38,"Other, non-Hispanic",45-59,BA or above,Independent,Male,59
33,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,2,Strongly oppose,3,Moderately oppose,36,"White, non-Hispanic",60+,Some college,Independent,Female,66
34,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,False,4,Slightly oppose,98,SKIPPED ON WEB/PAPI,23,"Black, non-Hispanic",30-44,Some college,Democrat,Female,34
35,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,6,Slightly favor,8,Strongly favor,21,"White, non-Hispanic",60+,BA or above,Republican,Male,62
36,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,3,Moderately oppose,2,Strongly oppose,20,"White, non-Hispanic",45-59,BA or above,Independent,Female,55
37,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,9,Very strongly favor,8,Strongly favor,9,"White, non-Hispanic",45-59,Some college,Independent,Male,59
38,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,4,Slightly oppose,4,Slightly oppose,27,"White, non-Hispanic",60+,BA or above,Democrat,Female,65
39,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,4,Slightly oppose,2,Strongly oppose,40,Hispanic,60+,HS graduate or equivalent,Democrat,Male,68
40,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,5,In the middle,6,Slightly favor,23,"White, non-Hispanic",60+,Some college,Independent,Female,61
41,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,1,Very strongly oppose,4,Slightly oppose,20,"2+, non-Hispanic",60+,BA or above,Democrat,Female,67
42,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,2,Strongly oppose,7,Moderately favor,26,"White, non-Hispanic",45-59,Some college,Republican,Male,59
43,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,5,In the middle,10,Strongly favor,21,Hispanic,30-44,HS graduate or equivalent,Democrat,Female,33
44,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,4,Slightly oppose,9,Very strongly favor,12,"White, non-Hispanic",45-59,Some college,Independent,Female,57
45,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,False,77,No opinion,5,In the middle,40,"White, non-Hispanic",45-59,HS graduate or equivalent,Republican,Male,57
46,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,9,Very strongly favor,7,Moderately favor,22,"2+, non-Hispanic",18-29,Some college,Independent,Male,22
47,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,5,In the middle,5,In the middle,26,"White, non-Hispanic",18-29,Some college,Independent,Male,19
48,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,5,In the middle,10,Strongly favor,29,"Black, non-Hispanic",30-44,Some college,Democrat,Female,38
49,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,6,Slightly favor,9,Very strongly favor,2,"White, non-Hispanic",45-59,BA or above,Independent,Female,52
50,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,False,98,SKIPPED ON WEB/PAPI,6,Slightly favor,22,"Asian, non-Hispanic",60+,BA or above,Independent,Male,63
51,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,9,Very strongly favor,6,Slightly favor,30,"White, non-Hispanic",60+,BA or above,Independent,Male,70
52,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,5,In the middle,8,Strongly favor,19,"Black, non-Hispanic",60+,Some college,Democrat,Female,60
53,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,2,Strongly oppose,3,Moderately oppose,5,"White, non-Hispanic",60+,Some college,Independent,Male,64
54,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,5,In the middle,7,Moderately favor,9,"White, non-Hispanic",45-59,Some college,Republican,Female,49
55,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,3,Moderately oppose,4,Slightly oppose,30,Hispanic,60+,BA or above,Independent,Male,62
56,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,4,Slightly oppose,5,In the middle,14,"Black, non-Hispanic",45-59,BA or above,Democrat,Female,49
