ID,Question,QuestionText,Topic,ValidResponse,BeforeNumber,BeforeResponse,AfterNumber,AfterResponse,GROUP,RACE,AGEBRACKET,EDUCATION,PARTYBEFORE,GENDER,AGE,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,llm_avg,llm_avg_rounded,llm_avg_raw,Corrected_LLM,delta_human,delta_llm
0,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,5,In the middle,9,Very strongly favor,1,White_non_Hispanic,18_29,Some_college,Independent,Male,21,6,6,4,6,4,4,6,4,6,6,5.0,5.0,5.2,6.0,4,1.0
17,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,7,Moderately favor,9,Very strongly favor,1,White_non_Hispanic,45_59,BA_or_above,Republican,Male,49,6,6,8,6,6,6,6,6,6,6,6.0,6.0,6.2,8.0,2,1.0
127,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,5,In the middle,7,Moderately favor,1,White_non_Hispanic,60plus,BA_or_above,Independent,Male,62,6,6,4,6,4,4,4,6,6,6,5.0,5.0,5.2,7.0,2,2.0
173,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,6,Slightly favor,7,Moderately favor,1,White_non_Hispanic,60plus,BA_or_above,Independent,Male,71,5,7,7,7,7,5,7,5,7,7,6.0,6.0,6.4,8.0,1,2.0
189,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,7,Moderately favor,9,Very strongly favor,1,White_non_Hispanic,60plus,Some_college,Independent,Male,68,6,6,8,6,8,6,6,6,6,8,7.0,7.0,6.6,9.0,2,2.0
244,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,6,Slightly favor,6,Slightly favor,1,White_non_Hispanic,18_29,Some_college,Republican,Female,23,5,7,7,7,7,7,5,5,7,7,6.0,6.0,6.4,7.0,0,1.0
249,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,5,In the middle,9,Very strongly favor,1,2+_non_Hispanic,60plus,BA_or_above,Republican,Female,62,6,6,6,6,6,6,6,6,6,6,6.0,6.0,6.0,8.0,4,3.0
280,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,5,In the middle,6,Slightly favor,1,Black_non_Hispanic,45_59,Some_college,Democrat,Female,45,6,6,4,4,4,4,4,6,6,6,5.0,5.0,5.0,7.0,1,2.0
345,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,5,In the middle,4,Slightly oppose,1,Black_non_Hispanic,30_44,BA_or_above,Democrat,Female,37,6,6,4,4,6,4,4,6,6,6,5.0,5.0,5.2,7.0,-1,2.0
360,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,7,Moderately favor,7,Moderately favor,1,Asian_non_Hispanic,18_29,BA_or_above,Independent,Male,24,6,6,8,6,8,6,6,6,6,8,7.0,7.0,6.6,8.0,0,1.0
446,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,0,Extremely oppose,6,Slightly favor,1,White_non_Hispanic,45_59,BA_or_above,Democrat,Female,48,0,0,0,2,2,0,2,2,0,0,1.0,1.0,0.8,3.0,6,3.0
493,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,3,Moderately oppose,6,Slightly favor,1,White_non_Hispanic,45_59,Some_college,Independent,Female,48,2,2,2,2,4,2,2,2,2,2,2.0,2.0,2.2,4.0,3,1.0
508,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,3,Moderately oppose,5,In the middle,1,Hispanic,60plus,HS_graduate_or_equivalent,Republican,Female,63,2,2,2,4,4,2,2,2,2,4,3.0,3.0,2.6,6.0,2,3.0
515,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,4,Slightly oppose,8,Strongly favor,1,White_non_Hispanic,60plus,Some_college,Democrat,Female,72,5,3,3,3,3,3,3,3,3,3,3.0,3.0,3.2,6.0,4,2.0
0,Q2B,[Increase personnel to process asylum seekers' claims faster.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,10,Strongly favor,1,White_non_Hispanic,18_29,Some_college,Independent,Male,21,10,10,10,9,9,10,9,10,10,10,10.0,10.0,9.7,10.0,0,0.0
17,Q2B,[Increase personnel to process asylum seekers' claims faster.] How strongly would you oppose or favor these?,Immigration,True,9,Very strongly favor,8,Strongly favor,1,White_non_Hispanic,45_59,BA_or_above,Republican,Male,49,9,8,10,9,4,9,9,10,10,9,9.0,9.0,8.7,10.0,-1,1.0
127,Q2B,[Increase personnel to process asylum seekers' claims faster.] How strongly would you oppose or favor these?,Immigration,True,7,Moderately favor,7,Moderately favor,1,White_non_Hispanic,60plus,BA_or_above,Independent,Male,62,8,8,8,8,8,8,8,8,8,8,8.0,8.0,8.0,8.0,0,1.0
173,Q2B,[Increase personnel to process asylum seekers' claims faster.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,10,Strongly favor,1,White_non_Hispanic,60plus,BA_or_above,Independent,Male,71,10,10,10,10,9,10,10,10,10,10,10.0,10.0,9.9,10.0,0,0.0
189,Q2B,[Increase personnel to process asylum seekers' claims faster.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,10,Strongly favor,1,White_non_Hispanic,60plus,Some_college,Independent,Male,68,6,6,7,6,6,6,6,6,6,8,6.0,6.0,6.3,7.0,5,2.0
244,Q2B,[Increase personnel to process asylum seekers' claims faster.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,10,Strongly favor,1,White_non_Hispanic,18_29,Some_college,Republican,Female,23,10,10,9,9,9,10,9,10,10,10,10.0,10.0,9.6,10.0,0,0.0
249,Q2B,[Increase personnel to process asylum seekers' claims faster.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,9,Very strongly favor,1,2+_non_Hispanic,60plus,BA_or_above,Republican,Female,62,6,6,7,6,8,7,6,6,7,8,7.0,7.0,6.7,7.0,4,2.0
280,Q2B,[Increase personnel to process asylum seekers' claims faster.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,10,Strongly favor,1,Black_non_Hispanic,45_59,Some_college,Democrat,Female,45,10,10,10,10,10,10,10,10,10,10,10.0,10.0,10.0,10.0,0,0.0
345,Q2B,[Increase personnel to process asylum seekers' claims faster.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,10,Strongly favor,1,Black_non_Hispanic,30_44,BA_or_above,Democrat,Female,37,8,8,8,8,8,8,8,8,8,8,8.0,8.0,8.0,8.0,5,3.0
360,Q2B,[Increase personnel to process asylum seekers' claims faster.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,10,Strongly favor,1,Asian_non_Hispanic,18_29,BA_or_above,Independent,Male,24,6,6,6,6,6,6,6,6,6,8,6.0,6.0,6.2,7.0,5,2.0
446,Q2B,[Increase personnel to process asylum seekers' claims faster.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,10,Strongly favor,1,White_non_Hispanic,45_59,BA_or_above,Democrat,Female,48,10,10,10,10,10,10,10,10,10,10,10.0,10.0,10.0,10.0,0,0.0
493,Q2B,[Increase personnel to process asylum seekers' claims faster.] How strongly would you oppose or favor these?,Immigration,True,9,Very strongly favor,10,Strongly favor,1,White_non_Hispanic,45_59,Some_college,Independent,Female,48,9,10,9,10,9,9,9,10,10,9,9.0,9.0,9.4,10.0,1,1.0
