,Variable,Variable Label
0,Q1,that the system of democracy in the US works these days.
1,Q2A,reducing the number of refuges allowed to resettle the US.
2,Q2B,increasing personnel to process asylum seekers' claims faster.
3,Q2C,providing aid to reduce poverty and violence in Central America.
4,Q2D,increasing the number of visas for skilled workers to move to the US.
5,Q2E,"increasing the number of visas for low-skilled workers to move to the US for industries that need them, like agriculture and service."
6,Q2F,requiring employers to use the E-verify computer system to confirm workers' eligibility.
7,Q2G,"that first-time violators of immigration laws should only be expelled, not subject to criminal punishment."
8,Q2H,"continuing DACA, the Deferred Action for Childhood Arrivals program, which protects people who were brought to the US as children when their parents entered the country illegally."
9,Q2I,that undocumented immigrants should be forced to return to their home countries before applying to legally come to the US to live and work permanently.
10,Q3A,that the US should commit to the 2014 Paris Agreement to combat climate change.
11,Q3B,that the US should go beyond the Paris Agreement and aim for more significant cutbacks on greenhouse gas emissions.
12,Q3C,that the US should use taxes or other market incentives to achieve emissions reductions.
13,Q3D,a Green New Deal to commit to major investments in infrastructure and renewable energy.
14,Q3E,the US should expand oil and gas production.
15,Q3F,allowing expansion of oil and gas production on federal lands previously dedicated to wildlife preservation.
16,Q3G,that the US government should facilitate fracking throughout the US.
17,Q3H,"that the US should mandate zero carbon emissions for cars, trucks, and buses."
18,Q4A,that Capital gains -- income earned when an investment that has increased in value is sold -- should be taxed the same as ordinary wage income.
19,Q4B,"that the US should impose a wealth tax on the richest taxpayers, requiring them to pay a small portion of their wealth on an annual basis."
20,Q4C,"that the US should repeal the estate tax, which currently taxes deceased individuals worth at least $11 million and deceased couples worth at least $22 million."
21,Q4D,"that when taxpayers earn more than $2 million per year, they should pay a higher tax rate on additional income."
22,Q4E,"expanding the Earned Income Tax Credit, which provides a benefit to low-income workers, to more middle-class workers."
23,Q4F,lowering the corporate tax rate from 21% to 15%.
24,Q4G,increasing federal minimum wage from $7.25/hr. to $15/hr.
25,Q4H,that the government should cover the cost of college tuition at public universities for all students who could not otherwise afford it.
26,Q4I,that the government should fund a bond for each child born that will accumulate in value until the child turns 18 to then become usable for higher education or other essentials for a start in life.
27,Q4J,"that the government should give cash grants of $1,000/month to all adults at least eighteen-years-old."
28,Q5A,that the Affordable Care Act should be repealed.
29,Q5B,repealing the Affordable Care Act and replace with grants to state Governments to create their own systems.
30,Q5C,that the federal subsidies in the Affordable Care Act that help the poor should be increased.
31,Q5D,that the federal subsidies in the Affordable Care Act that help the middle class should be expanded to include more people.
32,Q5E,that people should have reasonable access to health insurance without discrimination against pre-existing conditions.
33,Q5F,"that everybody should be able to buy a public plan like Medicare, the current plan for seniors over 65."
34,Q5G,"that people aged fifty-five and older should have the option of purchasing Medicare, instead of a private insurance plan."
35,Q5H,that people should be automatically enrolled in a more generous version of Medicare.
36,Q5I,allowing Medicare to negotiate drug prices.
37,Q5J,that the US government should make changes to the patent system to allow generic drugs to come on the market more quickly.
38,Q6A,"that the US should rejoin the Trans-Pacific Partnership, a trading agreement between 12 countries excluding China."
39,Q6B,that the US should increase tariffs on Chinese goods.
40,Q6C,that the US should tighten sanctions on Russia.
41,Q6D,that the US should reaffirm its commitment to defend any NATO ally attacked by a hostile force.
42,Q6E,that the US should enhance its military presence in the Asia Pacific to prevent aggression by China.
43,Q6F,that the US should recommit to the Iran Nuclear Agreement.
44,Q6G,that presidents should be required to obtain explicit congressional approval for sending US troops into combat situations.
45,Q6H,that the US should intervene abroad when it is necessary to prevent genocide.
46,Q6I,that the US should increase military spending by up to five percent per year for the next few years to meet rising global challenges and ensure readiness.
47,Q6J,that the US should use diplomacy and financial support to promote democracy and human rights throughout the world.
