question,human_mean_shift,llm_mean_shift,ks_D_mean,ks_D_sd,ks_p_mean,ks_p_sd,wasserstein_mean,wasserstein_sd,js_mean,js_sd
Q1,5.877551020408164,4.238367346938776,0.31938775510204087,0.02265673807262707,2.7618371804167276e-17,8.285306584397103e-17,1.6391836734693874,0.12102849544509871,0.3391003639413983,0.027639077416081806
Q2A,3.4191616766467066,4.524750499001996,0.30179640718562867,0.059705667019440946,8.602247816847854e-10,2.552452999476155e-09,1.2736526946107785,0.147422317536423,0.3247153011298587,0.04102351240920607
Q2B,8.738522954091817,8.016566866267466,0.26407185628742513,0.09265455302224605,1.1808930995406504e-05,3.3008546828418795e-05,0.722754491017964,0.12438653492911929,0.18505742835909605,0.03160279110193843
Q2C,6.1313131313131315,6.598989898989899,0.18767676767676766,0.01812448874129849,3.444619666985594e-07,5.061045890637973e-07,0.7193939393939395,0.10162820982051851,0.2821702114115123,0.05074408292920755
Q2D,7.618290258449304,7.012922465208748,0.19642147117296224,0.034899575757442056,4.541067409066937e-05,0.00013262236179190513,0.6916500994035786,0.0888045111517759,0.24410425711567357,0.027646435693679083
Q2E,7.318725099601593,6.497211155378487,0.1802788844621514,0.03397275889373186,6.505266907909506e-06,1.0055894634513226e-05,0.8282868525896413,0.09309760476655472,0.23095343283991135,0.038421252713481124
Q2F,7.569506726457399,7.595515695067266,0.21659192825112106,0.07387679726384244,6.659901112018686e-05,0.00018324961387125187,0.5278026905829596,0.13275814858230475,0.2520601189282144,0.02061104540936861
Q2G,6.959915611814346,7.015822784810126,0.2276371308016878,0.04859149478437024,7.69236414424736e-05,0.0002306630418302919,0.6145569620253164,0.11422857408922324,0.24009900936920964,0.02996368946122598
Q2H,7.891089108910891,7.523762376237624,0.10970297029702972,0.030858068159752106,0.035215804164222445,0.0666452271827401,0.46198019801980195,0.07388580277549427,0.2090716179580594,0.04470922317703241
Q2I,3.668,4.8498,0.26839999999999997,0.04212172835960082,1.1901612414651956e-08,3.567781584625861e-08,1.3546,0.06428716823752614,0.26935751648154393,0.0452675108223994
Q3A,7.132034632034632,7.246969696969697,0.09155844155844156,0.042691204397727445,0.1961987059173927,0.1920648431546742,0.37640692640692636,0.11585830189482026,0.2122256690566308,0.05178953757300157
Q3B,6.984913793103448,7.122413793103449,0.09741379310344828,0.021547413361982737,0.054542704275706524,0.04940266108152504,0.4185344827586208,0.06468964598191247,0.2246385218546393,0.03568053835211676
Q3C,6.944214876033058,6.9117768595041325,0.14070247933884295,0.06368497928317751,0.029939278787965568,0.046626427218745464,0.4336776859504132,0.14464418446560504,0.2290160524170542,0.04480772753203039
Q3D,5.593952483801296,6.748596112311015,0.21144708423326133,0.007814277544330684,3.967537910035186e-09,3.5501700438815303e-09,1.183585313174946,0.14370887178407935,0.2576526987925493,0.042501317594781325
Q3E,4.570539419087137,4.910373443983403,0.18526970954356847,0.04427455890435076,0.0009652681202400491,0.002691485059773513,0.7103734439834024,0.10407082389119833,0.2624084651999168,0.043130851565545886
Q3F,2.2051792828685257,2.404382470119522,0.09641434262948208,0.025200581037240582,0.07209427836832537,0.08708991226306365,0.3705179282868525,0.07482725088044997,0.19682576769131307,0.032904884989200966
Q3G,3.591517857142857,2.870089285714286,0.14017857142857143,0.025111359125759344,0.0017895896612093673,0.002206356528013168,0.7633928571428572,0.07111398358068743,0.257403986187962,0.037778724942071226
Q3H,4.675564681724846,5.8221765913757695,0.2665297741273101,0.022489990258879787,4.2581232513683004e-12,1.269299978533919e-11,1.2295687885010267,0.11200587389720434,0.27282170243483206,0.03319650799628246
Q4A,5.501057082452431,5.733615221987315,0.16871035940803383,0.019302684499811127,4.589051710794628e-05,8.08146854980559e-05,0.5902748414376322,0.10074522635295709,0.2696477103954761,0.03141743507639631
Q4B,5.795228628230617,6.570576540755467,0.16560636182902586,0.014529253590929192,9.597835240423213e-06,1.419340689647649e-05,0.8616302186878728,0.07125621262615597,0.20894937459859958,0.020418964376328126
Q4C,4.148648648648648,4.417342342342343,0.16824324324324325,0.033407058716873786,0.0009474226587622613,0.0018942781423923923,0.6011261261261261,0.10242400347232143,0.2661568669188488,0.03195215616525892
Q4D,6.98828125,7.701171875,0.1685546875,0.036014375147781705,1.1580641506353695e-05,1.1558141440788816e-05,0.7921875,0.0896916171202227,0.21988131180662523,0.016718295223271267
Q4E,7.950592885375494,7.895059288537548,0.11936758893280633,0.06374674344308495,0.0577619283489321,0.05252676462083488,0.3231225296442688,0.09475970311365155,0.20049411008700907,0.03340931656476877
Q4F,2.4798301486199574,3.7906581740976644,0.24628450106157113,0.01783944928883227,3.179612951172277e-11,5.493225251752265e-11,1.3668789808917199,0.05410306378813095,0.2669601441472717,0.01700832533244938
Q4G,4.571709233791749,6.526326129666012,0.318860510805501,0.012395906918937017,2.363365235843815e-21,5.999593297625331e-21,1.954616895874263,0.0901228699528885,0.32124688243229127,0.021771424611357223
Q4H,4.748046875,5.797656250000001,0.209765625,0.008295609602185665,9.194591500375048e-10,1.2777379461590128e-09,1.10703125,0.07962811819345758,0.25018651421551,0.03319487166253436
