ID,Question,QuestionText,Topic,ValidResponse,BeforeNumber,BeforeResponse,AfterNumber,AfterResponse,GROUP,RACE,AGEBRACKET,EDUCATION,PARTYBEFORE,GENDER,AGE,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,delta_observed,delta_0,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,delta_mean_llm,delta_stf_llm,delta_diff_0,delta_diff_1,delta_diff_2,delta_diff_3,delta_diff_4,delta_diff_5,delta_diff_6,delta_diff_7,delta_diff_8,delta_diff_9
0,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,5,In the middle,9,Very strongly favor,1,"White, non-Hispanic",18-29,Some college,Independent,Male,21,6,6,4,6,4,4,6,4,6,6,4,1,1,-1,1,-1,-1,1,-1,1,1,0.2,1.0327955589886446,-3,-3,-5,-3,-5,-5,-3,-5,-3,-3
17,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,7,Moderately favor,9,Very strongly favor,1,"White, non-Hispanic",45-59,BA or above,Republican,Male,49,6,6,8,6,6,6,6,6,6,6,2,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-0.8,0.6324555320336759,-3,-3,-1,-3,-3,-3,-3,-3,-3,-3
127,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,5,In the middle,7,Moderately favor,1,"White, non-Hispanic",60+,BA or above,Independent,Male,62,6,6,4,6,4,4,4,6,6,6,2,1,1,-1,1,-1,-1,-1,1,1,1,0.2,1.0327955589886446,-1,-1,-3,-1,-3,-3,-3,-1,-1,-1
173,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,6,Slightly favor,7,Moderately favor,1,"White, non-Hispanic",60+,BA or above,Independent,Male,71,5,7,7,7,7,5,7,5,7,7,1,-1,1,1,1,1,-1,1,-1,1,1,0.4,0.9660917830792958,-2,0,0,0,0,-2,0,-2,0,0
189,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,7,Moderately favor,9,Very strongly favor,1,"White, non-Hispanic",60+,Some college,Independent,Male,68,6,6,8,6,8,6,6,6,6,8,2,-1,-1,1,-1,1,-1,-1,-1,-1,1,-0.4,0.9660917830792959,-3,-3,-1,-3,-1,-3,-3,-3,-3,-1
244,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,6,Slightly favor,6,Slightly favor,1,"White, non-Hispanic",18-29,Some college,Republican,Female,23,5,7,7,7,7,7,5,5,7,7,0,-1,1,1,1,1,1,-1,-1,1,1,0.4,0.9660917830792958,-1,1,1,1,1,1,-1,-1,1,1
249,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,5,In the middle,9,Very strongly favor,1,"2+, non-Hispanic",60+,BA or above,Republican,Female,62,6,6,6,6,6,6,6,6,6,6,4,1,1,1,1,1,1,1,1,1,1,1.0,0.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
280,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,5,In the middle,6,Slightly favor,1,"Black, non-Hispanic",45-59,Some college,Democrat,Female,45,6,6,4,4,4,4,4,6,6,6,1,1,1,-1,-1,-1,-1,-1,1,1,1,0.0,1.0540925533894598,0,0,-2,-2,-2,-2,-2,0,0,0
345,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,5,In the middle,4,Slightly oppose,1,"Black, non-Hispanic",30-44,BA or above,Democrat,Female,37,6,6,4,4,6,4,4,6,6,6,-1,1,1,-1,-1,1,-1,-1,1,1,1,0.2,1.0327955589886446,2,2,0,0,2,0,0,2,2,2
360,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,7,Moderately favor,7,Moderately favor,1,"Asian, non-Hispanic",18-29,BA or above,Independent,Male,24,6,6,8,6,8,6,6,6,6,8,0,-1,-1,1,-1,1,-1,-1,-1,-1,1,-0.4,0.9660917830792959,-1,-1,1,-1,1,-1,-1,-1,-1,1
446,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,0,Extremely oppose,6,Slightly favor,1,"White, non-Hispanic",45-59,BA or above,Democrat,Female,48,0,0,0,2,2,0,2,2,0,0,6,0,0,0,2,2,0,2,2,0,0,0.8,1.0327955589886446,-6,-6,-6,-4,-4,-6,-4,-4,-6,-6
493,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,3,Moderately oppose,6,Slightly favor,1,"White, non-Hispanic",45-59,Some college,Independent,Female,48,2,2,2,2,4,2,2,2,2,2,3,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-0.8,0.6324555320336759,-4,-4,-4,-4,-2,-4,-4,-4,-4,-4
508,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,3,Moderately oppose,5,In the middle,1,Hispanic,60+,HS graduate or equivalent,Republican,Female,63,2,2,2,4,4,2,2,2,2,4,2,-1,-1,-1,1,1,-1,-1,-1,-1,1,-0.4,0.9660917830792959,-3,-3,-3,-1,-1,-3,-3,-3,-3,-1
