BeforeNumber,RACE,AGEBRACKET,EDUCATION,PARTYBEFORE,block
0,"Black, non-Hispanic",18-29,BA or above,Independent,0
0,"Black, non-Hispanic",30-44,Some college,Independent,143
10,"White, non-Hispanic",60+,BA or above,Republican,170
3,"White, non-Hispanic",60+,BA or above,Democrat,169
5,"White, non-Hispanic",60+,BA or above,Republican,165
6,"White, non-Hispanic",60+,BA or above,Republican,165
9,"White, non-Hispanic",60+,Some college,Republican,162
3,"White, non-Hispanic",60+,BA or above,Independent,158
5,"White, non-Hispanic",60+,Some college,Democrat,155
0,"Black, non-Hispanic",60+,Some college,Democrat,154
5,"Black, non-Hispanic",45-59,Some college,Democrat,149
0,"White, non-Hispanic",45-59,Some college,Independent,146
0,"White, non-Hispanic",60+,Some college,Independent,145
9,"White, non-Hispanic",45-59,Some college,Republican,142
10,"White, non-Hispanic",45-59,Some college,Republican,142
0,"White, non-Hispanic",45-59,HS graduate or equivalent,Democrat,59
0,"White, non-Hispanic",45-59,BA or above,Independent,140
0,"White, non-Hispanic",45-59,Some college,Republican,138
0,"White, non-Hispanic",60+,BA or above,Republican,134
0,"Black, non-Hispanic",30-44,Some college,Democrat,133
3,"White, non-Hispanic",45-59,BA or above,Republican,132
0,"White, non-Hispanic",60+,BA or above,Independent,131
0,"White, non-Hispanic",60+,Some college,Democrat,1
0,Hispanic,30-44,Some college,Independent,80
0,"Asian, non-Hispanic",18-29,HS graduate or equivalent,Independent,71
1,"Asian, non-Hispanic",18-29,HS graduate or equivalent,Independent,71
0,"White, non-Hispanic",18-29,BA or above,Democrat,67
0,"White, non-Hispanic",30-44,BA or above,Independent,172
0,"Black, non-Hispanic",30-44,BA or above,Democrat,173
10,"White, non-Hispanic",60+,BA or above,Independent,174
5,"White, non-Hispanic",60+,BA or above,Independent,176
9,"White, non-Hispanic",45-59,BA or above,Republican,247
2,"White, non-Hispanic",60+,Some college,Independent,239
0,"White, non-Hispanic",18-29,Some college,Democrat,238
1,"White, non-Hispanic",45-59,Some college,Independent,234
2,"White, non-Hispanic",60+,BA or above,Independent,233
4,"White, non-Hispanic",60+,BA or above,Democrat,232
8,"White, non-Hispanic",60+,BA or above,Independent,226
2,"Black, non-Hispanic",45-59,BA or above,Democrat,225
6,"White, non-Hispanic",60+,Some college,Republican,223
6,"White, non-Hispanic",30-44,Some college,Republican,219
7,"White, non-Hispanic",30-44,Some college,Republican,219
1,"White, non-Hispanic",45-59,BA or above,Independent,209
2,"White, non-Hispanic",30-44,Some college,Republican,208
5,"White, non-Hispanic",60+,Some college,Independent,206
7,"White, non-Hispanic",60+,Some college,Republican,205
2,"White, non-Hispanic",18-29,BA or above,Independent,203
2,"White, non-Hispanic",60+,BA or above,Republican,202
7,"White, non-Hispanic",45-59,BA or above,Independent,198
6,"White, non-Hispanic",45-59,BA or above,Independent,198
3,"White, non-Hispanic",30-44,Some college,Independent,192
0,"White, non-Hispanic",45-59,BA or above,Democrat,185
5,"White, non-Hispanic",45-59,BA or above,Republican,182
7,"White, non-Hispanic",60+,Some college,Independent,178
0,"Asian, non-Hispanic",30-44,BA or above,Independent,65
5,"White, non-Hispanic",45-59,Some college,Independent,130
5,Hispanic,60+,BA or above,Independent,30
7,"White, non-Hispanic",60+,BA or above,Independent,2
0,"White, non-Hispanic",30-44,BA or above,Democrat,13
3,"White, non-Hispanic",60+,Some college,Independent,16
0,"Black, non-Hispanic",45-59,BA or above,Democrat,17
5,"White, non-Hispanic",30-44,BA or above,Republican,45
5,"White, non-Hispanic",60+,Some college,Republican,20
0,"White, non-Hispanic",30-44,Some college,Democrat,41
0,Hispanic,18-29,Some college,Democrat,6
0,"White, non-Hispanic",30-44,Some college,Independent,5
0,"White, non-Hispanic",60+,BA or above,Democrat,14
5,"White, non-Hispanic",45-59,Some college,Republican,4
0,"Black, non-Hispanic",18-29,Some college,Democrat,39
0,"White, non-Hispanic",18-29,BA or above,Independent,38
0,"White, non-Hispanic",45-59,Some college,Democrat,47
0,"Asian, non-Hispanic",18-29,BA or above,Democrat,46
10,"White, non-Hispanic",45-59,Some college,Independent,28
0,Hispanic,30-44,Some college,Democrat,31
0,Hispanic,60+,Some college,Democrat,49
0,"White, non-Hispanic",18-29,Some college,Independent,26
0,Hispanic,18-29,BA or above,Democrat,50
